Title,Meta Description,Headings (H1),Headings (H2),Paragraphs
"Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in","Amazon.in: Online Shopping India - Buy mobiles, laptops, cameras, books, watches, apparel, shoes and e-Gift Cards. Free Shipping & Cash on Delivery Available.",,"Skip to
Keyboard shortcuts
Revamp your home in style
Appliances for your home | Up to 55% off
Starting ₹149 | Headphones
Automotive essentials | Up to 60% off
Starting ₹70,348 | From daily commutes to weekend thrills
Up to 60% off | Trending products from Emerging Businesses
Up to 75% off | Collections from Small Businesses
Essentials for Expecting Mothers
Best Sellers in Books
Up to 60% off | Best offers on kitchen products | Amazon Launchpad
Min. 50% off | Unique home finds  | Amazon Brands & more
Up to 75% off | Curated products from Small Businesses
One stop shop for all your wedding shopping
Up to 40% off | Inverter batteries  from stores near you
Up to 70% off | Top deals from Small Businesses
Up to 70% off | Kitchen essentials from Amazon Launchpad
Up to 60% off | Home & kitchen essentials from women owned brands
Amazon Pay | Travel bookings
Minimum 50% off | Men's clothing
Up to 65% off | Apparel, luggage & more from Amazon Launchpad
Up to 60% off | Trending products from women-led brands
Best Sellers in Beauty",


--- LINKS ---
text,href
Main content,#skippedLink
"Search

alt
+
/",javascript:void(0)
"Cart

shift
+
alt
+
C",javascript:void(0)
"Home

shift
+
alt
+
H",javascript:void(0)
"Orders

shift
+
alt
+
O",javascript:void(0)
.in,/ref=nav_logo
"Delivering to Jalandhar 144001
                

                   Update location",
EN,/customer-preferences/edit?ie=UTF8&preferencesReturnUrl=%2F&ref_=topnav_lang
"Hello, sign in
Account & Lists",https://www.amazon.in/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.in%2F%3F_encoding%3DUTF8%26ref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0
"Returns
& Orders",/gp/css/order-history?ref_=nav_orders_first
"0






        Cart",/gp/cart/view.html?ref_=nav_cart
All,/gp/site-directory?ref_=nav_em_js_disabled
Fresh,/fresh?ref_=nav_cs_fresh
MX Player,/minitv?ref_=nav_avod_desktop_topnav
