Title,Meta Description,Headings (H1),Headings (H2),Paragraphs
"Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in","Amazon.in: Online Shopping India - Buy mobiles, laptops, cameras, books, watches, apparel, shoes and e-Gift Cards. Free Shipping & Cash on Delivery Available.",,"Skip to
Keyboard shortcuts
Revamp your home in style
Appliances for your home | Up to 55% off
Starting ₹149 | Headphones
Sign in for your best experience
Under ₹499 | Deals on home improvement essentials
Automotive essentials | Up to 60% off
Starting ₹199 | Amazon Brands & more
Up to 50% off | Baby care & toys | Amazon Brands
Get your desired TV screen size | Starting ₹6,999
Starting ₹499 | Level up your playtime
Starting ₹70,348 | Set off on your next great ride
Customers’ Most-Loved Fashion for you
Up to 60% off | Trending products from Emerging Businesses
Min. 40% off | Home & kitchen deals from Amazon Launchpad
Up to 50% off | International brands
Up to 70% off | Kitchen products from Emerging Businesses
Up to 50% Off | Designed for living, priced for you
Min.30% off | Top selections from Small Businesses
Up to 60% off | Best offers on kitchen products | Amazon Launchpad
Starting ₹2,599 | Pedal your way to fitness
Best Sellers in Sports, Fitness & Outdoors
Up to 65% off | Apparel, luggage & more from Amazon Launchpad
Up to 60% off | Curated kitchen products | Amazon Launchpad
Up to 60% off | Kitchen deals from Amazon Launchpad
Up to 60% Off | Top tech deals from nearby stores
Customers’ Most-Loved products
Best Sellers in Clothing & Accessories","Pack of 50 - Mixed Vintage Stickers - Retro Stickers for Scrapbooks, Laptops, Guitars, Phones, Pads, Skateboards,...
KCK INTERNATIONAL Large Dish Drying Mat - 40x60cm Microfiber Kitchen Counter Mat, Quick-Dry Dish Drainer Pad for Dishes...
KalaTree Handmade Heat Resistant Mats for Prayer Meditation Picnic | Madurkathi Chatai mat Natural River Korai Grass |...
Nebelr Car Air Purifier Ionizer - Premium - Zero Filter - Alluminium - 10 Million Negative Ions - Kills 99.9% Viruses -...
Hero Blunt 29T 21 Speed Mountain Cycle for Men | Front Suspension | Disk Brake | Frame 12 Inches | Blue-Yellow | Ideal...
Aquaminder Smart Water Bottle Glows & Beeps to Remind You to Drink More 770 ml Chug Cap Bottle For Adults and Kids...
Slyford Glass 2Pc Leak-Proof Oil Dispenser Bottle With Silicon Funnel, Oil & Vinegar Cruet Dispenser Bottle, 500 ml...
Misxi 2 Pack Tempered Glass Case Compatible For Apple Watch Series 10 (2024) 42Mm,Hard PC Full Screen Protector..."


--- LINKS ---
text,href
Main content,#skippedLink
.in,/ref=nav_logo
"Delivering to Phagwāra 144411
                

                   Update location",
EN,/customer-preferences/edit?ie=UTF8&preferencesReturnUrl=%2F&ref_=topnav_lang
"Hello, sign in
Account & Lists",https://www.amazon.in/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.in%2F%3F_encoding%3DUTF8%26adgrpid%3D155259813593%26gad_source%3D1%26hvadid%3D674893540034%26hvdev%3Dc%26hvdvcmdl%3D%26hvlocint%3D%26hvlocphy%3D9144063%26hvnetw%3Dg%26hvpone%3D%26hvpos%3D%26hvptwo%3D%26hvqmt%3De%26hvrand%3D3700325508906690224%26hvtargid%3Dkwd-64107830%26hydadcr%3D14452_2316413%26ref%3Dpd_sl_5szpgfto9i_e%26tag%3Dgooghydrabk1-21%26ref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0
"Returns
& Orders",/gp/css/order-history?ref_=nav_orders_first
"0






        Cart",/gp/cart/view.html?ref_=nav_cart
All,/gp/site-directory?ref_=nav_em_js_disabled
Fresh,/fresh?ref_=nav_cs_fresh
MX Player,/minitv?ref_=nav_avod_desktop_topnav
Sell,/b/32702023031?node=32702023031&ld=AZINSOANavDesktop_T3&ref_=nav_cs_sell_T3
Bestsellers,/gp/bestsellers/?ref_=nav_cs_bestsellers
Today's Deals,/deals?ref_=nav_cs_gb
Mobiles,/mobile-phones/b/?ie=UTF8&node=1389401031&ref_=nav_cs_mobiles
Prime,/prime?ref_=nav_cs_primelink_nonmember
Customer Service,/gp/help/customer/display.html?nodeId=200507590&ref_=nav_cs_help
Electronics,/electronics/b/?ie=UTF8&node=976419031&ref_=nav_cs_electronics
Fashion,/gp/browse.html?node=6648217031&ref_=nav_cs_fashion
New Releases,/gp/new-releases/?ref_=nav_cs_newreleases
Home & Kitchen,/Home-Kitchen/b/?ie=UTF8&node=976442031&ref_=nav_cs_home
Amazon Pay,/gp/sva/dashboard?ref_=nav_cs_apay
Computers,/computers-and-accessories/b/?ie=UTF8&node=976392031&ref_=nav_cs_pc
Books,/Books/b/?ie=UTF8&node=976389031&ref_=nav_cs_books
Beauty & Personal Care,/beauty/b/?ie=UTF8&node=1355016031&ref_=nav_cs_beauty
Car & Motorbike,/Car-Motorbike-Store/b/?ie=UTF8&node=4772060031&ref_=nav_cs_automotive
Home Improvement,/Home-Improvement/b/?ie=UTF8&node=4286640031&ref_=nav_cs_hi
Toys & Games,/Toys-Games/b/?ie=UTF8&node=1350380031&ref_=nav_cs_toys
Video Games,/video-games/b/?ie=UTF8&node=976460031&ref_=nav_cs_video_games
"Sports, Fitness & Outdoors",/Sports/b/?ie=UTF8&node=1984443031&ref_=nav_cs_sports
Gift Cards,/gift-card-store/b/?ie=UTF8&node=3704982031&ref_=nav_cs_gc
"Health, Household & Personal Care",/health-and-personal-care/b/?ie=UTF8&node=1350384031&ref_=nav_cs_hpc
Custom Products,/Amazon-Custom/b/?ie=UTF8&node=32615889031&ref_=nav_cs_custom
Grocery & Gourmet Foods,/Gourmet-Specialty-Foods/b/?ie=UTF8&node=2454178031&ref_=nav_cs_grocery
Baby,/Baby/b/?ie=UTF8&node=1571274031&ref_=nav_cs_baby
Subscribe & Save,/auto-deliveries/landing?ref_=nav_cs_sns
AmazonBasics,/b/?node=6637738031&ref_=nav_cs_amazonbasics
Pet Supplies,/Pet-Supplies/b/?ie=UTF8&node=2454181031&ref_=nav_cs_pets
Audible,/Audible-Books-and-Originals/b/?ie=UTF8&node=17941593031&ref_=nav_cs_audible
Gift Ideas,/gcx/-/gfhz/?ref_=nav_cs_giftfinder
Flights,/flights?ref_=nav_cs_apay_desktop_topnav_flights
Previous slide,#
,/b/ref=surl_fashion/?_encoding=UTF8&node=6648217031&pd_rd_w=WsEGX&content-id=amzn1.sym.7ef06a53-cbf0-4f02-a9bb-77a50f526247&pf_rd_p=7ef06a53-cbf0-4f02-a9bb-77a50f526247&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=pNSMH&pd_rd_r=7150a629-48c8-4c7e-84d6-04f73947d161&ref_=pd_hp_d_hero_unk
Next slide,#
"Cushion covers, bedsheets & more",/b/?_encoding=UTF8&node=1380442031&pd_rd_w=eR4ZL&content-id=amzn1.sym.f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_p=f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
"Figurines, vases & more",/b/?_encoding=UTF8&node=1380374031&pd_rd_w=eR4ZL&content-id=amzn1.sym.f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_p=f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Home storage,/b/?_encoding=UTF8&node=1380510031&pd_rd_w=eR4ZL&content-id=amzn1.sym.f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_p=f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Lighting solutions,/b/?_encoding=UTF8&node=1380485031&pd_rd_w=eR4ZL&content-id=amzn1.sym.f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_p=f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Explore all,/b/?_encoding=UTF8&node=12414705031&pd_rd_w=eR4ZL&content-id=amzn1.sym.f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_p=f8e82c51-0408-4554-a158-9be4d776850d&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Air conditioners,/s/?_encoding=UTF8&bbn=81107432031&rh=n%3A81107432031%2Cp_85%3A10440599031&pd_rd_w=CHxgy&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_p=58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Refrigerators,/s/?_encoding=UTF8&bbn=81107433031&rh=n%3A81107433031%2Cp_85%3A10440599031&pd_rd_w=CHxgy&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_p=58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Microwaves,/s/?_encoding=UTF8&bbn=84514739031&rh=n%3A84514739031%2Cp_85%3A10440599031&pd_rd_w=CHxgy&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_p=58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Washing machines,/s/?_encoding=UTF8&bbn=84514752031&rh=n%3A84514752031%2Cp_85%3A10440599031&pd_rd_w=CHxgy&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_p=58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
See more,/s/?_encoding=UTF8&bbn=84514735031&rh=n%3A84514735031%2Cp_85%3A10440599031&pd_rd_w=CHxgy&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_p=58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Starting ₹249 | boAt,/s/?_encoding=UTF8&bbn=1388921031&rh=n%3A1388921031%2Cp_89%3AboAt&pd_rd_w=VgcVk&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_p=82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Starting ₹349 | boult,/s/?_encoding=UTF8&i=electronics&bbn=1388921031&rh=n%3A1388921031%2Cp_89%3ABoult&pd_rd_w=VgcVk&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_p=82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Starting ₹649 | Noise,/s/?_encoding=UTF8&k=noise&i=electronics&rh=n%3A1388921031%2Cp_n_condition-type%3A8609960031%2Cp_36%3A-200000&pd_rd_w=VgcVk&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_p=82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Starting ₹149 | Zebronics,/s/?_encoding=UTF8&k=zebronics&i=electronics&rh=n%3A976419031%2Cn%3A29561348031%2Cp_89%3AZEBRONICS&pd_rd_w=VgcVk&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_p=82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
See all offers,/b/?_encoding=UTF8&ie=UTF8&node=1388921031&pd_rd_w=VgcVk&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_p=82b20790-8877-4d70-8f73-9d8246e460aa&pf_rd_r=QGZSFN5ED5NVD72M8DQW&pd_rd_wg=75IBg&pd_rd_r=3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&ref_=pd_hp_d_atf_unk
Sign in securely,https://www.amazon.in/ap/signin?openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.return_to=https%3A%2F%2Fwww.amazon.in%2Fref%3Dgw_sgn_ib%3F_encoding%3DUTF8%26pd_rd_w%3D0xGzZ%26content-id%3Damzn1.sym.b1dbcf0f-387c-42b7-a092-9d42f9c202b5%26pf_rd_p%3Db1dbcf0f-387c-42b7-a092-9d42f9c202b5%26pf_rd_r%3DQGZSFN5ED5NVD72M8DQW%26pd_rd_wg%3D75IBg%26pd_rd_r%3D3a79739b-5ab7-4d55-a4e1-5e9e2f5a476f&openid.assoc_handle=inflex&openid.pape.max_auth_age=0
