Title,Meta Description,Headings (H1),Headings (H2),Paragraphs
W3Schools Online Web Tutorials,,"Learn to Code
HTML
CSS
JavaScript
Python
SQL
Log in / Sign Up
Code Editor
W3Schools Spaces
Become a Plus User
For Teachers
Color Picker
Code Game
Web Templates","Tutorials
Exercises
Certificates
All Our Services
PHP
jQuery
Java
C++
W3.CSS
Bootstrap
C
C#
R
Kotlin
Node.js
React
JSON
Vue
MySQL
XML
Sass
Icons
RWD
Graphics
SVG
Canvas
Raspberry Pi
Cyber Security
Colors
Git
Matplotlib
NumPy
Pandas
SciPy
ASP
AngularJS
AppML
Go
TypeScript
Django
MongoDB
Statistics
Data Science
PostgreSQL
HowTo
Rust
Spaces
Typing Speed
Excel
DSA - Data Structures and Algorithms
Machine Learning
Artificial Intelligence
Introduction to Programming
Bash
Help the Lynx collect pine cones!
Exercises and Quizzes
Kickstart your career
How To Section
Contact Sales
Report Error","W3Schools offers a wide range of services and products for
                beginners and professionals,
                
                helping millions of people everyday to learn and master new
                skills.
Enjoy our free tutorials like millions of other internet
                      users since 1999
Explore our selection of references covering all popular
                      coding languages
Create your own website with
                      W3Schools Spaces
                      - no setup required
Test your skills with different exercises
Test yourself with multiple choice questions
Document your knowledge
Create a
                      free
                      W3Schools Account to Improve Your Learning Experience
Track your learning progress at W3Schools and collect
                      rewards
Become a PLUS user and unlock powerful features (ad-free,
                      hosting, support,..)
Not sure where you want to start? Follow our guided path
With our online code editor, you can edit code and view
                      the result in your browser
Learn the basics of HTML in a fun and engaging video
                      tutorial
We have created a bunch of responsive website templates
                      you can use - for free!
Host your own website, and share it to the world with
                      W3Schools Spaces
Create your own server using Python, PHP, React.js,
                      Node.js, Java, C#, etc.
Large collection of code snippets for HTML, CSS and
                      JavaScript
Build fast and responsive sites using our free
                      W3.CSS
                      framework
Read long term trends of browser usage
Test your typing speed
Use our color picker to find different RGB, HEX and HSL
                      colors.
W3Schools Coding Game! Help the lynx collect pine cones
Join our newsletter and get access to exclusive content
                      every month
Contact us about W3Schools Academy for educational
                      institutions
Contact us about W3Schools Academy for your organization
About sales:
                      sales@w3schools.com

                      About errors:
                      help@w3schools.com
Check out our refererence page with all the emojis supported in HTML
                      😊
Check out our full UTF-8 Character reference
The language for building web pages
The language for styling web pages
The language for programming web pages
A popular programming language
A language for accessing databases
Sign Up for Free
Streamline your teaching:
Play Game
Exercises
Quizzes
Browse Templates
Get certified by completing a course
If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com
If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com"


--- LINKS ---
text,href
,https://www.w3schools.com
Tutorials,javascript:void(0)
Exercises,javascript:void(0)
Certificates,javascript:void(0)
Services,javascript:void(0)
Menu,javascript:void(0)
,javascript:void(0);
"★
+1",https://profile.w3schools.com/log-in
Get Certified,https://campus.w3schools.com/collections/course-catalog
Upgrade,https://order.w3schools.com/plans
For Teachers,/academy/index.php
Spaces,/spaces/index.php
Get Certified,https://campus.w3schools.com/collections/course-catalog
Upgrade,https://order.w3schools.com/plans
For Teachers,/academy/index.php
Spaces,https://spaces.w3schools.com/space/
My W3Schools,https://pathfinder.w3schools.com
Spaces,/spaces/index.php
Get Certified,https://campus.w3schools.com/collections/course-catalog
Plus,https://order.w3schools.com/plans
Academy,/academy/index.php
Logout,https://profile.w3schools.com/logout
